Remuneracao Liquida	Descontos Legais	Indenizacoes	Remuneracao Bruta	Matricula	Redutor
      322.86	     1509.74	        0.00	     1832.60	003808	        0.00
     9626.51	       36.96	        0.00	     9663.47	003824	        0.00
     8379.96	     1791.19	        0.00	    10171.15	003891	        0.00
     3106.04	       63.39	        0.00	     3169.43	003913	        0.00
     2608.39	         .00	        0.00	     2608.39	003930	        0.00
     1561.74	     1548.34	        0.00	     3110.08	003948	        0.00
     7688.10	     4407.53	        0.00	    12095.63	003964	        0.00
     5327.77	     1005.40	        0.00	     6333.17	003999	        0.00
     8891.41	     2803.04	        0.00	    11694.45	004014	        0.00
     8937.20	     3371.33	        0.00	    12308.53	004049	        0.00
     8758.18	     3180.65	        0.00	    11938.83	004057	        0.00
     3534.17	         .00	        0.00	     3534.17	004065	        0.00
    10180.27	      105.40	        0.00	    10285.67	004146	        0.00
     4926.90	      800.94	        0.00	     5727.84	004154	        0.00
     7408.57	     1337.93	        0.00	     8746.50	004189	        0.00
     3192.95	         .00	        0.00	     3192.95	004197	        0.00
     3392.81	         .00	        0.00	     3392.81	004201	        0.00
    11731.26	     3714.49	        0.00	    15445.75	004227	        0.00
     3754.90	       76.63	        0.00	     3831.53	004243	        0.00
     9762.59	       53.77	        0.00	     9816.36	004251	        0.00
     5390.21	      312.05	        0.00	     5702.26	004260	        0.00
     9113.51	     2275.28	        0.00	    11388.79	004278	        0.00
     6108.88	      628.00	        0.00	     6736.88	004375	        0.00
     6641.45	     1074.55	        0.00	     7716.00	004391	        0.00
    12868.60	     5727.64	        0.00	    18596.24	004405	        0.00
     9796.17	     2650.60	        0.00	    12446.77	004413	        0.00
     6946.02	     1948.59	        0.00	     8894.61	004421	        0.00
    25626.76	    11354.06	        0.00	    40262.73	004456	     3281.91
     9739.23	     2619.31	        0.00	    12358.54	004472	        0.00
     7809.81	     1558.54	        0.00	     9368.35	004481	        0.00
    21050.93	     9649.79	        0.00	    33396.99	004502	     2696.27
     4535.27	      417.60	        0.00	     4952.87	004529	        0.00
     3534.17	         .00	        0.00	     3534.17	004545	        0.00
     2187.40	     1844.16	        0.00	     4031.56	004561	        0.00
     9718.83	     3338.74	        0.00	    13057.57	004570	        0.00
     4826.85	     3324.51	        0.00	     8151.36	004596	        0.00
    10849.57	     5112.38	        0.00	    15961.95	004600	        0.00
     5355.38	     2850.77	        0.00	     8206.15	004618	        0.00
     5448.42	      449.11	        0.00	     5897.53	004634	        0.00
      968.60	     2537.44	        0.00	     3506.04	004642	        0.00
     3669.54	     2846.50	        0.00	     6516.04	004669	        0.00
     4809.69	       98.16	        0.00	     4907.85	004677	        0.00
     8482.82	     1928.54	        0.00	    10411.36	004715	        0.00
     7194.15	     1654.23	      285.43	     8562.95	004740	        0.00
     8303.74	     2154.24	        0.00	    10457.98	004774	        0.00
     9735.61	     2617.31	        0.00	    12352.92	004782	        0.00
     1483.39	     4062.12	        0.00	     5545.51	004804	        0.00
     5905.79	         .00	        0.00	     5905.79	004812	        0.00
     6626.26	     1148.82	        0.00	     7775.08	004821	        0.00
     4411.80	     2438.00	        0.00	     6849.80	004871	        0.00
     8617.03	     2342.01	        0.00	    10959.04	004928	        0.00
     8496.53	     1936.07	        0.00	    10432.60	004936	        0.00
     3816.04	         .00	        0.00	     3816.04	004944	        0.00
     7007.80	     1036.79	        0.00	     8044.59	004979	        0.00
     3889.45	       92.70	        0.00	     3982.15	004995	        0.00
     2813.16	       57.41	        0.00	     2870.57	005002	        0.00
     8963.01	     3616.01	     1246.57	    11332.45	005045	        0.00
     6355.91	     2637.70	        0.00	     8993.61	005053	        0.00
     5745.88	         .00	        0.00	     5745.88	005061	        0.00
     3532.30	      205.93	        0.00	     3738.23	005070	        0.00
     7115.63	     1988.34	        0.00	     9103.97	005088	        0.00
    11816.73	      586.38	        0.00	    12403.11	005096	        0.00
    18727.16	     9307.29	     2778.19	    27633.95	005100	     2377.69
     9219.56	     2333.60	        0.00	    11553.16	005118	        0.00
     7978.11	         .00	        0.00	     7978.11	005134	        0.00
     8730.86	     1984.12	        0.00	    10714.98	005215	        0.00
     6867.04	     1293.14	        0.00	     8160.18	005223	        0.00
     2339.57	         .00	        0.00	     2339.57	005282	        0.00
     5529.93	      367.60	        0.00	     5897.53	005321	        0.00
     7288.94	         .00	        0.00	     7288.94	005339	        0.00
    12286.77	     4669.77	        0.00	    16956.54	005347	        0.00
     6338.06	     1730.11	        0.00	     8068.17	005355	        0.00
     3876.42	       91.34	        0.00	     3967.76	005371	        0.00
    15774.46	     5856.59	        0.00	    23082.58	005401	     1451.53
    13334.72	      495.27	        0.00	    13829.99	005410	        0.00
     7287.97	     1190.82	        0.00	     8478.79	005428	        0.00
     7220.85	     1505.20	        0.00	     8726.05	005444	        0.00
     8089.57	     1942.48	        0.00	    10032.05	005461	        0.00
     7993.83	     1659.69	        0.00	     9653.52	005495	        0.00
     4926.42	      784.75	        0.00	     5711.17	005509	        0.00
     2321.61	     2440.28	        0.00	     4761.89	005525	        0.00
    10427.31	     2916.79	        0.00	    13344.10	005541	        0.00
     5011.33	      190.09	        0.00	     5201.42	005550	        0.00
     5199.46	      763.97	        0.00	     5963.43	005568	        0.00
     5221.14	     2691.32	        0.00	     7912.46	005576	        0.00
     3512.80	       71.69	        0.00	     3584.49	005584	        0.00
     3955.02	       11.92	        0.00	     3966.94	005592	        0.00
     2845.01	       58.06	        0.00	     2903.07	005606	        0.00
    11517.23	     4917.70	        0.00	    16434.93	005614	        0.00
     2789.47	         .00	        0.00	     2789.47	005622	        0.00
      291.65	     2200.50	        0.00	     2492.15	005631	        0.00
     3164.69	         .00	        0.00	     3164.69	005649	        0.00
     2422.26	         .00	        0.00	     2422.26	005665	        0.00
     4686.34	      656.76	        0.00	     5343.10	005673	        0.00
      637.44	     1365.15	        0.00	     2002.59	005681	        0.00
     5551.22	      377.17	        0.00	     5928.39	005703	        0.00
    12838.25	     4242.30	        0.00	    17080.55	005738	        0.00
    11377.26	     3277.47	        0.00	    14654.73	005746	        0.00
     8712.86	     3153.49	        0.00	    11866.35	005754	        0.00
     6710.98	      136.96	        0.00	     6847.94	005762	        0.00
     6274.95	     1445.34	        0.00	     7720.29	005789	        0.00
     7647.60	     2200.01	        0.00	     9847.61	005819	        0.00
     6914.03	     1066.04	        0.00	     7980.07	005827	        0.00
     5090.33	      874.86	        0.00	     5965.19	005835	        0.00
     6236.50	      915.21	        0.00	     7151.71	005886	        0.00
    11534.42	     4914.19	     1447.17	    15001.44	005908	        0.00
     6059.80	     1327.05	        0.00	     7386.85	005916	        0.00
     7044.42	     1949.19	        0.00	     8993.61	005924	        0.00
     9706.68	     2601.41	        0.00	    12308.09	005932	        0.00
     3762.69	         .00	        0.00	     3762.69	006009	        0.00
    16327.80	     7682.67	     2379.42	    22910.60	006017	     1279.55
     2658.25	       54.25	        0.00	     2712.50	006033	        0.00
     2425.79	     1782.31	        0.00	     4208.10	006041	        0.00
     7575.27	     2241.04	        0.00	     9816.31	006050	        0.00
     7606.18	     2573.57	        0.00	    10179.75	006068	        0.00
     5724.49	      639.64	        0.00	     6364.13	006076	        0.00
     6943.64	     1082.32	        0.00	     8025.96	006084	        0.00
     4141.14	      806.71	        0.00	     4947.85	006157	        0.00
     2625.62	       53.58	        0.00	     2679.20	006165	        0.00
     7600.23	     2570.02	        0.00	    10170.25	006173	        0.00
     8653.25	     2022.24	        0.00	    10675.49	006181	        0.00
     6054.01	      805.85	        0.00	     6859.86	006190	        0.00
     3122.94	       63.73	        0.00	     3186.67	006211	        0.00
     5603.75	      580.11	        0.00	     6183.86	006220	        0.00
    10490.00	     3464.59	        0.00	    13954.59	006238	        0.00
     1077.84	     3030.85	        0.00	     4108.69	006246	        0.00
     3710.86	         .00	        0.00	     3710.86	006262	        0.00
